ward,precinct,votes,Biden,Trump,Hawkins,LaRiva,Carroll,Jorgensen
,23,503,241,255,2,0,0,5
,24,358,111,242,0,0,0,5
,25,437,285,147,1,0,1,3
,26,454,297,147,2,1,2,5
,27,420,361,54,2,0,2,1
,28,534,497,23,8,0,0,6
,29,557,191,360,1,1,0,4
,30,496,160,324,5,0,2,5
,31,405,268,125,1,0,4,7
,32,432,196,231,2,0,0,3
,33,552,161,383,3,1,1,3
,34,398,269,124,2,0,0,3
,35,397,278,116,1,0,0,2
,36,629,558,66,0,1,2,2
,37,444,386,51,3,1,0,3
,38,416,353,55,2,1,0,5
,39,206,185,19,2,0,0,0
,40,494,380,107,3,0,2,2
,41,492,142,345,2,0,1,2
,42,370,286,77,1,1,0,5
,43,602,569,30,2,0,1,0
,44,589,174,406,2,0,0,7
,45,476,208,259,3,0,0,6
,46,469,217,245,3,0,1,3
,47,617,521,90,3,0,0,3
,48,562,534,23,2,0,0,3
,49,529,474,46,8,0,0,1
,50,390,217,167,3,0,1,2
,51,516,262,245,2,0,1,6
,52,579,211,350,2,2,4,10
,53,422,251,164,0,0,0,7
,54,431,97,328,2,0,0,4
,55,454,127,318,1,0,0,8
,56,453,354,91,5,0,1,2
,57,347,275,64,4,2,0,2
20,1,430,406,18,3,0,3,0
,2,173,153,15,2,2,1,0
,3,384,364,12,3,2,2,1
,4,216,185,28,1,0,0,2
,5,506,477,22,2,1,2,2
,6,214,202,10,0,2,0,0
,7,516,483,20,9,1,2,1
,8,389,364,20,5,0,0,0
,9,589,567,16,4,2,0,0
